Jamaica 	 r2: -5113.993859179161 	 msle: 0.11364945931680796 
Tanzania 	 r2: 0.0 	 msle: 0.1729969801662906 
Saudi Arabia 	 r2: -20.222120217370822 	 msle: 0.05108301538680477 
Iceland 	 r2: -2245404.7586940182 	 msle: 0.10080482552332162 
Hungary 	 r2: -1817.7610474930275 	 msle: 0.09417786345288785 
Argentina 	 r2: 0.9702408331963999 	 msle: 0.00023061380414931258 
China 	 r2: -1955503.7093497762 	 msle: 0.038151129044691263 
Kazakhstan 	 r2: -20.057717812120657 	 msle: 0.018469348902228223 
Poland 	 r2: -34.705997149049466 	 msle: 0.038196890944092565 
Sao Tome and Principe 	 r2: -341.0283466227594 	 msle: 0.12667706172778584 
Venezuela 	 r2: -0.23686054582104088 	 msle: 0.01401453848286836 
Colombia 	 r2: 0.8433120537747423 	 msle: 0.0013507922428757388 
Liberia 	 r2: -5.510495357346244 	 msle: 0.02103942488946655 
Afghanistan 	 r2: -2.7954723371420567 	 msle: 0.01834377342838271 
Kenya 	 r2: 0.8873783672801008 	 msle: 0.00121313401426361 
Bolivia 	 r2: -2.0901960429316224 	 msle: 0.014638439546188523 
Guatemala 	 r2: -2.6175187360721575 	 msle: 0.026411440552698055 
Russia 	 r2: -59.24118827365131 	 msle: 0.06736530144165617 
Ghana 	 r2: -16.43400949841643 	 msle: 0.047312259707403194 
Rwanda 	 r2: -3.1447094452300455 	 msle: 0.01023480786994899 
Honduras 	 r2: -17.62623409807721 	 msle: 0.03710239537373051 
Armenia 	 r2: 0.9733312896885741 	 msle: 0.0002552991410565025 
Burma 	 r2: -137.32197405557451 	 msle: 0.03479779788195853 
Kosovo 	 r2: -22.27422166373456 	 msle: 0.04187370240599025 
Sierra Leone 	 r2: -110.6521227874425 	 msle: 0.10048377224990206 
Algeria 	 r2: -155.0523206383378 	 msle: 0.054384325843180384 
Diamond Princess 	 r2: 0.0 	 msle: 0.016222082185813055 
North Macedonia 	 r2: 0.6589829113745562 	 msle: 0.0034419980461981303 
Estonia 	 r2: -551.1382625022363 	 msle: 0.08121924150730837 
Congo (Kinshasa) 	 r2: -1.8413530835750938 	 msle: 0.010743638161528754 
Trinidad and Tobago 	 r2: 0.0 	 msle: 0.0440929325456178 
Kyrgyzstan 	 r2: -10.749892735840476 	 msle: 0.011227058409745737 
Cuba 	 r2: -303.34724283024366 	 msle: 0.07690090448645755 
Tajikistan 	 r2: -177.70046463272018 	 msle: 0.15937159007377202 
US 	 r2: -149.50246925100083 	 msle: 0.0635178732240077 
Laos 	 r2: 0.0 	 msle: 0.03199967645859488 
Papua New Guinea 	 r2: 0.0 	 msle: 0.09236542264072053 
Tunisia 	 r2: -1295271.6123822236 	 msle: 0.0966626000218916 
Ukraine 	 r2: -33.46319773875859 	 msle: 0.04435231000399796 
Guinea 	 r2: -118.98231644931299 	 msle: 0.0624703572581742 
overall score: 		 r2: -55925.57191292725 	 msle: 0.07426952822836054 
